,,"Alcohol, average daily intake in grams among drinkers with 95%CI","Alcohol, average daily intake in grams among drinkers with 95%CI","Alcohol, average daily intake in grams among drinkers with 95%CI"
"Countries, territories and areas","Year","Both sexes","Male","Female"
"Iraq","2016","26.7 [25-28.4]","31.6 [29.6-33.5]","11.8 [11-12.5]"
"Ireland","2016","34.6 [33.6-35.5]","49.1 [47.8-50.5]","17.2 [16.7-17.6]"
"Israel","2016","15.1 [14.4-15.7]","20.1 [19.2-20.9]","7.2 [6.9-7.5]"
"Italy","2016","25.9 [25.3-26.6]","35.6 [34.7-36.5]","12.3 [12-12.6]"
"Jamaica","2016","25.8 [24.7-26.8]","32.6 [31.2-33.9]","11.8 [11.3-12.3]"
"Japan","2016","30.4 [29.5-31.3]","41 [39.8-42.3]","14.2 [13.8-14.6]"
"Jordan","2016","53.2 [49.7-56.8]","62.5 [58.3-66.7]","22.9 [21.4-24.5]"
"Kazakhstan","2016","41.5 [39.9-43.1]","54 [51.9-56.1]","19.2 [18.4-19.9]"
"Kenya","2016","30.4 [28.7-32.1]","37.3 [35.3-39.3]","13.9 [13.2-14.7]"
"Kiribati","2016","7.9 [7.3-8.4]","9.6 [8.9-10.3]","3.5 [3.3-3.8]"
"Kuwait","2016","2.1 [1.4-2.8]","2.4 [1.6-3.2]","0.8 [0.6-1.1]"
"Kyrgyzstan","2016","51.9 [49.5-54.3]","64.6 [61.6-67.6]","23.5 [22.4-24.5]"
"Lao People's Democratic Republic","2016","56 [53.4-58.6]","71.4 [68.1-74.6]","26.6 [25.4-27.9]"
"Latvia","2016","37.2 [36-38.3]","54.3 [52.6-56]","18.7 [18.1-19.3]"
"Lebanon","2016","54.1 [52-56.1]","64.1 [61.6-66.5]","23.2 [22.3-24.1]"
"Lesotho","2016","61 [57.9-64]","74 [70.3-77.7]","27.9 [26.5-29.3]"
"Liberia","2016","40.5 [38.4-42.5]","50.1 [47.6-52.6]","18.7 [17.8-19.6]"
"Libya","2016","57 [51.1-63]","67.4 [60.4-74.5]","24.2 [21.7-26.7]"
"Lithuania","2016","41 [39.9-42]","60.3 [58.8-61.9]","20.9 [20.4-21.5]"
"Luxembourg","2016","30.6 [29.7-31.4]","44.4 [43.1-45.6]","15.5 [15.1-15.9]"
"Madagascar","2016","20 [18.7-21.2]","24.4 [22.9-25.9]","9.1 [8.6-9.7]"
"Malawi","2016","33.4 [31.6-35.2]","40.9 [38.7-43.2]","15.5 [14.6-16.3]"
"Malaysia","2016","6.7 [6.3-7.1]","8.4 [7.9-8.8]","3 [2.9-3.2]"
"Maldives","2016","72.8 [67.1-78.5]","86.3 [79.6-93.1]","31.6 [29.1-34.1]"
"Mali","2016","12.4 [11.6-13.1]","15.1 [14.2-16.1]","5.7 [5.4-6.1]"
"Malta","2016","27.8 [26.8-28.7]","37.5 [36.2-38.8]","13.1 [12.6-13.5]"
"Mauritania","2016","8.1 [7.4-8.8]","9.5 [8.7-10.4]","3.5 [3.2-3.8]"
"Mauritius","2016","25 [23.8-26.1]","31.4 [30-32.9]","11.1 [10.6-11.6]"
"Mexico","2016","33.1 [31.9-34.3]","42.6 [41-44.2]","15.4 [14.9-16]"
"Micronesia (Federated States of)","2016","34.9 [33.2-36.6]","41.7 [39.7-43.8]","15.7 [14.9-16.5]"
"Mongolia","2016","47.2 [45.5-49]","59.7 [57.4-61.9]","21.5 [20.6-22.3]"
"Montenegro","2016","32.1 [30.9-33.3]","42.7 [41.1-44.2]","15 [14.5-15.5]"
"Morocco","2016","52.9 [49.6-56.1]","63.1 [59.3-67]","22.8 [21.4-24.2]"
"Mozambique","2016","24.6 [23.2-26]","30.4 [28.7-32.1]","11.5 [10.9-12.2]"
"Myanmar","2016","38.1 [35.4-40.8]","47.7 [44.3-51.1]","17.2 [16-18.5]"
"Namibia","2016","70.1 [67.5-72.6]","88.3 [85.1-91.5]","32.9 [31.7-34.1]"
"Nauru","2016","59 [55.9-62.1]","72.3 [68.5-76.1]","26.8 [25.4-28.2]"
"Nepal","2016","16.1 [14.9-17.3]","20.3 [18.8-21.9]","7.6 [7-8.1]"
"Netherlands","2016","26 [25.3-26.6]","36 [35.2-36.9]","12.6 [12.3-12.9]"
"New Zealand","2016","30.9 [30.1-31.8]","43.6 [42.4-44.8]","15.4 [15-15.8]"
"Nicaragua","2016","34.5 [33.1-35.9]","43.6 [41.8-45.3]","16 [15.4-16.7]"
"Niger","2016","5.4 [4.9-5.8]","6.5 [6-7.1]","2.5 [2.3-2.7]"
"Nigeria","2016","55 [52.8-57.3]","70.7 [67.8-73.7]","26.4 [25.3-27.5]"
"Niue","2016","45.5 [44.1-46.9]","57 [55.3-58.8]","21.1 [20.5-21.8]"
"Norway","2016","20.4 [19.8-21]","28.6 [27.7-29.4]","10 [9.7-10.3]"
"Oman","2016","19.7 [18.6-20.9]","21.3 [20.1-22.6]","7.6 [7.2-8]"
"Pakistan","2016","56.2 [51.3-61.1]","65.9 [60.2-71.7]","24.4 [22.2-26.5]"
"Panama","2016","35.7 [34.5-36.8]","46.3 [44.8-47.7]","16.6 [16.1-17.2]"
"Papua New Guinea","2016","18.5 [17.5-19.5]","22.2 [21-23.4]","8.2 [7.8-8.6]"
"Paraguay","2016","43.5 [41.8-45.1]","54.4 [52.3-56.5]","20 [19.2-20.7]"
"Peru","2016","25.6 [24.7-26.5]","33.7 [32.5-34.8]","12.2 [11.8-12.6]"
"Philippines","2016","43.1 [41.2-45]","53.9 [51.5-56.3]","19.7 [18.9-20.6]"
"Poland","2016","37 [35.8-38.2]","51.5 [49.9-53.2]","17.9 [17.3-18.4]"
"Portugal","2016","38.4 [37.1-39.7]","54.3 [52.5-56.2]","18.8 [18.2-19.5]"
"Qatar","2016","9.4 [9-9.8]","10.3 [9.8-10.8]","3.7 [3.5-3.8]"
"Republic of Korea","2016","34.6 [33.6-35.6]","47 [45.7-48.3]","16.4 [15.9-16.8]"
"Republic of Moldova","2016","49.2 [46.8-51.6]","68.5 [65.2-71.8]","24 [22.9-25.2]"
"North Macedonia","2016","32.7 [30.9-34.5]","43.2 [40.9-45.6]","15.2 [14.3-16]"
"Romania","2016","40.7 [39.3-42]","56.6 [54.7-58.4]","19.5 [18.9-20.2]"
"Russian Federation","2016","43.5 [41.6-45.4]","66 [63.1-68.8]","22.8 [21.8-23.8]"
"Rwanda","2016","55.4 [53.3-57.5]","71.3 [68.6-74]","26.8 [25.8-27.8]"
"Saint Kitts and Nevis","2016","37 [36.1-37.9]","48.9 [47.7-50]","17.6 [17.2-18]"
"Saint Lucia","2016","42.8 [41.4-44.3]","56.4 [54.5-58.3]","20.2 [19.5-20.9]"
"Saint Vincent and the Grenadines","2016","38.2 [36.9-39.5]","49.2 [47.5-50.9]","17.6 [17-18.2]"
"Samoa","2016","33.9 [32.4-35.4]","40.6 [38.8-42.4]","14.9 [14.2-15.6]"
"Sao Tome and Principe","2016","43.5 [41.7-45.4]","54.4 [52.1-56.8]","20.3 [19.5-21.2]"
"Saudi Arabia","2016","8.1 [7.5-8.8]","9.7 [9-10.5]","3.4 [3.2-3.7]"
"Senegal","2016","7.6 [7-8.2]","9.4 [8.7-10.1]","3.5 [3.3-3.8]"
"Serbia","2016","39.9 [38.7-41.2]","54.2 [52.5-56]","19 [18.4-19.6]"
"Seychelles","2016","47.2 [45.7-48.7]","62.1 [60.1-64.1]","21.8 [21.2-22.5]"
"Sierra Leone","2016","39.5 [37.5-41.5]","49.2 [46.7-51.7]","18.4 [17.5-19.4]"
"Singapore","2016","6.3 [6-6.5]","8.7 [8.4-9]","3 [2.9-3.1]"
"Slovakia","2016","35.8 [34.7-36.9]","50 [48.4-51.6]","17.3 [16.8-17.9]"
"Slovenia","2016","38.3 [37.1-39.5]","53.2 [51.6-54.8]","18.3 [17.7-18.9]"
"Solomon Islands","2016","22.6 [21.6-23.6]","27.1 [25.9-28.3]","10.1 [9.7-10.6]"
"Somalia","2016","3.3 [3-3.6]","3.9 [3.6-4.3]","1.5 [1.4-1.6]"
"South Africa","2016","64.6 [62.1-67]","81 [78-84.1]","29.6 [28.5-30.8]"
"Spain","2016","31.5 [30.4-32.6]","43.8 [42.3-45.2]","15.1 [14.5-15.6]"
"Sri Lanka","2016","32.2 [30.6-33.7]","40.8 [38.9-42.8]","14.5 [13.8-15.2]"
"Sudan","2016","47.5 [42.9-52.2]","56.1 [50.6-61.6]","20.9 [18.9-23]"
"Suriname","2016","26.2 [25.4-27.1]","33.6 [32.5-34.7]","12 [11.6-12.4]"
"Sweden","2016","27.1 [26.1-28.1]","37.6 [36.2-39]","13.2 [12.7-13.7]"
"Switzerland","2016","30.6 [29.8-31.4]","43.6 [42.4-44.7]","15.2 [14.8-15.6]"
